KEY,logFC_lo,FDR_lo,logFC_med,FDR_med,logFC_hi,FDR_hi,SYMBOL,pass_lo,pass_med,pass_hi,pass_any,mean_abs_logFC,dir_consistent,in_GO_focus,score
Nr4a3,-1.2522137638022368,0.034230705945774174,-1.2401344946338044,0.07684192185984365,-2.026955605039118,0.04913501460555962,Nr4a3,TRUE,FALSE,TRUE,TRUE,1.5064346211583863,FALSE,TRUE,2.406522393518848
Sycp3,1.3259383637597235,0.08748090539214214,1.5792051582040052,0.08803823262798008,1.3768587952479256,0.17484601599802074,Sycp3,FALSE,FALSE,FALSE,FALSE,1.4273341057372182,FALSE,TRUE,2.385134603037897
Knl1,1.5683239147279173,0.038254963185461115,1.1232437215004452,0.15289262433005546,1.295047905116189,0.1711176852477748,Knl1,TRUE,FALSE,FALSE,TRUE,1.3288718471148504,FALSE,TRUE,2.358511639249561
Ncapg,1.5204658208124928,0.05161747799358566,0.6359534077086447,0.45155634002129874,1.6998442138340746,0.1002620105675008,Ncapg,FALSE,FALSE,FALSE,FALSE,1.2854211474517374,FALSE,TRUE,2.3467631132671785
Adcy8,-1.1257797611340485,0.21025000009788422,-1.0987426425475881,0.2432198801580557,-1.6085050423120184,0.22455190325108323,Adcy8,FALSE,FALSE,FALSE,FALSE,1.2776758153312184,FALSE,TRUE,2.3446688722914146
Ube2c,1.218997562362922,0.18802129649275798,1.231074584902347,0.21320569468413628,1.3735423279338197,0.263937480222375,Ube2c,FALSE,FALSE,FALSE,FALSE,1.2745381583996962,FALSE,TRUE,2.343820489083098
Hspa1a,-1.3298316496819358,0.03568027773812975,-1.0171723221458007,0.10069442807404672,-1.4443071109399443,0.07902608801737694,Hspa1a,TRUE,FALSE,FALSE,TRUE,1.2637703609225603,FALSE,TRUE,2.3409090112607847
Cenpi,1.579934101775717,0.02402884468577471,0.5655994853642847,0.4118995503994028,1.4622204689360085,0.09143882993334339,Cenpi,TRUE,FALSE,FALSE,TRUE,1.2025846853586701,FALSE,TRUE,2.3243651695117364
4930447C04Rik,1.2477491926538988,0.01752676768374091,1.1783797703243968,0.0704576830990092,1.103109484923757,0.06750873220157737,4930447C04Rik,TRUE,FALSE,FALSE,TRUE,1.1764128159673508,FALSE,TRUE,2.3172886232205276
Cenpf,1.3748404898134838,0.0294685758210866,0.6319714958709488,0.31075062795405345,1.413251251357209,0.08096894039228028,Cenpf,TRUE,FALSE,FALSE,TRUE,1.1400210790138805,FALSE,TRUE,2.3074487525059757
Cenpu,0.7990819608673768,0.23750563526547439,1.4810740576582024,0.07939073389715677,1.1213294808579959,0.2077190284490418,Cenpu,FALSE,FALSE,FALSE,FALSE,1.1338284997945252,FALSE,TRUE,2.3057743565026745
Esco2,1.9410165845892053,0.03370580140610914,0.492635337362027,0.6305232293340162,0.8746887804587803,0.47967468294702076,Esco2,TRUE,FALSE,FALSE,TRUE,1.1027802341366708,FALSE,TRUE,2.2973792936241155
Ccnb1,1.0727362337347355,0.1576366102998766,0.5638913017655371,0.5101936636793424,1.4623302528688122,0.14120234546347582,Ccnb1,FALSE,FALSE,FALSE,FALSE,1.0329859294563617,FALSE,TRUE,2.278507786184271
Prc1,0.8986619935827513,0.07391413984556996,0.8101620903071218,0.13820967438382178,1.3685282060226056,0.058087765943643586,Prc1,FALSE,FALSE,FALSE,FALSE,1.025784096637493,FALSE,TRUE,2.2765605006250214
Hspa1b,-1.3290041107114754,0.03962206051692648,-0.44677539746175654,0.3965666529384725,-1.250512027328622,0.11156556707211306,Hspa1b,TRUE,FALSE,FALSE,TRUE,1.0087638451672847,FALSE,TRUE,2.2719584374091286
Bub1,1.3350920197252423,0.023478178854300733,0.6887351405785307,0.218875905884679,0.8947682925312745,0.19999072086906083,Bub1,TRUE,FALSE,FALSE,TRUE,0.9728651509450158,FALSE,TRUE,2.2622518792852335
Rpl36-ps12,-1.4070998444671377,0.024629542147386174,-0.3312162462379134,0.47837325166481226,-1.1589742738719784,0.1005378684561948,Rpl36-ps12,TRUE,FALSE,FALSE,TRUE,0.9657634548590098,FALSE,TRUE,2.2603316694466735
Atf3,-0.9662374626843608,0.20038262277428237,-0.6892729927651804,0.35152179893346636,-1.179703817079909,0.25445387841808387,Atf3,FALSE,FALSE,FALSE,FALSE,0.9450714241764834,FALSE,TRUE,2.25473680303516
Top2a,1.339207807071245,0.036602288743575066,0.4965641150023976,0.4487883978725616,0.9681965665056387,0.22739560197176337,Top2a,TRUE,FALSE,FALSE,TRUE,0.9346561628597604,FALSE,TRUE,2.2519206465833297
Spdya,0.6453702951981333,0.2126040711364037,1.0860146749058375,0.08456131587098986,0.9913593407657697,0.1410195325599866,Spdya,FALSE,FALSE,FALSE,FALSE,0.9075814369565801,FALSE,TRUE,2.2445999791785325
Aspm,0.9713045477369933,0.07629974157098911,0.6191758077473517,0.28483043194451224,1.0794668694166931,0.13465946208849597,Aspm,FALSE,FALSE,FALSE,FALSE,0.889982408300346,FALSE,TRUE,2.2398414218472227
